Title3,Following Perseus,Greek,English,Benjamin_Jowett,Schleiermacher,Rahimi,Nikpour,Shojaian,Mohammadi,Mahmoodzadeh,Asimi,1st final translation,2nd final translation,3rd final translation,Kazeminia
0059-003|83.|Cr.46d.3.,0059-003|79.|Cr.46d,"ἐπιθυμῶ δ᾽ ἔγωγ᾽ ἐπισκέψασθαι, ὦ Κρίτων, κοινῇ μετὰ σοῦ εἴ τί μοι ἀλλοιότερος φανεῖται, ἐπειδὴ ὧδε ἔχω, ἢ ὁ αὐτός, καὶ ἐάσομεν χαίρειν ἢ πεισόμεθα αὐτῷ. ","And I wish to investigate, Crito, in common with you, and see whether our former argument seems different to me under our present conditions, or the same, and whether we shall give it up or be guided by it. ","That is what I want to consider with your help, Crito: whether, under my present circumstances, the argument appears to be in any way different or not; and is to be allowed by me or disallowed.","Ich meines Teils habe Lust, Kriton, dies mit dir gemeinschaftlich zu untersuchen: ob diese Rede mir jetzt etwa wunderlicher erscheinen wird, nun es so mit mir steht, oder noch eben so; und dem gemäß wollen wir sie entweder gehen lassen oder ihr gehorchen. ","و ای کریتون من مشتاقم که با تو مشترکاً تحقیق کنم که در پس چنین وضعی که در آن هستم آیا برای من دیگرگونه به نظرمی‌رسد یا یکسان , یا آن را رها می‌کنیم یا از آن پیروی خواهیم کرد",,و ای کریتون من خواهان وارسی به همراه تو هستم که آیا [آنچه قبل گفته شد] ، پس از اینکه چنین دریافتم ، به نظر من متمایز میرسد یا همان است و [آن را] رها کنیم یا از آن تبعیت کنیم. ,"اما خود من مایلم مشترکاً همراه تو به وارسی کردن , ای کریتون , که آیا برای من متفاوت‌تر به نظر می‌رسد , از زمانی که چنین پیش آمده , یا همان طور است [ که بوده ] , و دست خواهیم برداشت یا از همان پیروی خواهیم کرد .","ای کریتون من برآنم به کاویدن , دوشادوش تو که آیا آن چه هم اکنون این چنین در نظرم دارم مرا به گونه ایی دیگر پدیدار خواهد گشت یا همان است ; پس یا با فروگذاردن , آن را وا خواهیم نهاد یا همان را پی خواهیم گرفت .",و من ای کریتون راغبم به وارسیدن همراه با تو که آن آیا مرا بعد از این و چنانکه در پیش رو دارم دیگرگون در نظر خواهد آمد یا یکسان است و رهایش کنیم مرخص شود یا پیروی اش کنیم,,,,
0059-003|84.|Cr.46e.1.,0059-003|79.|Cr.46d,"ἐλέγετο δέ πως, ὡς ἐγᾦμαι, ἑκάστοτε ὧδε ὑπὸ τῶν οἰομένων τὶ λέγειν, ὥσπερ νυνδὴ ἐγὼ ἔλεγον, ὅτι τῶν δοξῶν ἃς οἱ ἄνθρωποι δοξάζουσιν δέοι τὰς μὲν περὶ πολλοῦ ποιεῖσθαι, τὰς δὲ μή.","But it used to be said, I think, by those who thought they were speaking sensibly, just as I was saying now, that of the opinions held by men some ought to be highly esteemed and others not.","That argument, which, as I believe, is maintained by many who assume to be authorities, was to the effect, as I was saying, that the opinions of some men are to be regarded, and of other men not to be regarded. ","So aber, glaube ich, wurde sonst immer von denen behauptet, die etwas zu sagen meinten, wie ich jetzt eben sagte, daß von den Meinungen, welche die Menschen hegen, man einige zwar sehr hoch achten müsse, Andere aber nicht. ","اما به هر روی , چنانکه به نظرم می‌آید , در هر مناسبتی از سوی کسانی که سخن سنجیده گویند نقل شده , به سان آنچه که اکنون گفتمِ , که برخی از آن عقاید که مردم به آنها اعتقاد می‌ورزند را می‌بایست بسیار ارج نهاد و برخی را نه .",,لیکن میپندارم ، آنچه توسط آنانی که می اندیشند که مستدل سخن میگویند، گفته میشود ؛ همانگونه که اکنون گفتم ، آن پندارهایی که مردمان می پندارند، برخی باید ارج نهاد و برخی دیگر نه.,"اما به هر صورتی که گفته می‌شد , آنطور که فکر می‌کنم , در هر شرایطی به گونه‌ای/روشی توسط اندیشمندان که سنجیده سخن می‌گویند , همان طور که من اکنون می‌گفتم , که افکارهایی را که مردمان می‌پندارند باید همانا به برخی ارزش قائل شد , اما به برخی نه . پناه بر ایزدان , ای کریتون , تو می‌پنداری که این سگال درست نیست؟ ","لیک بر این باورم که هر بار بدین منوال , سخن گفتن از سوی سخن‌گویانِ نکته سنج , و به هر نحوی که گفته می‌شد , بسانِ همین باشد که من اکنون بر زبان آوردم , که بایستی شماری از قضاوت هایی که آدمیان در سر می‌پرورانند را ارجِ بسیار نهادن و شماری را نه .",و به گمانم هر بار که به هر روی بدین صورت از جانب آنانکه اندیشیده سخن گویند سخنی گفته شده است چنان است که من اکنون گفتم : که آرایی که آدمیان باور دارند می بایست برخی را بسیار به حساب آورد و برخی دیگر را نه .,,,,
0059-003|85.|Cr.46e.2.,0059-003|82.|Cr.46e,"τοῦτο πρὸς θεῶν, ὦ Κρίτων, οὐ δοκεῖ καλῶς σοι λέγεσθαι; — ","In God's name, Crito, do you not think this is correct? ",,"Sprich nun, Kriton, bei den Göttern dünkt dich dies nicht gut gesagt zu sein? ","بنابراین از بهر خدایان , ای کریتون , نزد تو سخنی درست به نظر نمی‌رسد؟","به خدایان سوگند , کریتون , این سخن برای تو برحق نمی‌نماید؟",ای کریتون به زئوس قسم ، آیا نمی پنداری آنچه گفته شد راست است؟," پناه بر ایزدان , ای کریتون , تو می‌پنداری که این سگال درست نیست ؟ -",بهر خاطرِ ایزدان ! ای کریتون ! زین‌سان سخن گفتن تو را راستین در نظر نیاید ؟,برای خاطر خدایان ای کریتون آیا این استدلال ترا نیک در نظر نیاید ؟ ,,,,
0059-003|86.|Cr.47a.1.,0059-003|83.|Cr.47a,"σὺ γάρ, ὅσα γε τἀνθρώπεια, ἐκτὸς εἶ τοῦ μέλλειν ἀποθνῄσκειν αὔριον, καὶ οὐκ ἂν σὲ παρακρούοι ἡ παροῦσα συμφορά: ","For you, humanly speaking, are not involved in the necessity of dying tomorrow, and therefore present conditions would not lead your judgment astray. ","Now you, Crito, are a disinterested person who are not going to die to-morrow- at least, there is no human probability of this, and you are therefore not liable to be deceived by the circumstances in which you are placed. ","Denn du bist doch menschlichem Ansehen nach fern davon Morgen sterben zu müssen, und das bevorstehende Schicksal könnte dich nicht berücken. ","چراکه تو , چنانچه بعنوان انسان سخن بگوییم/تا آنجا که سخن بشر باشد , ازمردن مقرر فردا به دور هستی , و در شرایط کنونی گمراه نخواهی شد :","چراکه تو فردا , دست‌کم تا آنجا که نفس انسانی حکم می‌کند , خارج از دایره اجل مقرر هستی و این مصیبت‌های‌‌ سررسیده تو را گمراه نخواهند کرد .",زیرا به مثابه یک انسان گرفتار جبر اعدام فردا نیستی و مصائب کنونی تو را گمراه نخواهد کرد . ," چرا که تو , حداقل به همان اندازه انسان‌گونه/آدمیان , از مرگ مختوم ( مهر و موم شده/ممهور ) فردا مبرّا هستی , و وضعیت کنونی تو را فریب ندهد : ","چه به قدری که بر آدمی آشکار تواند بود , تو فردا ورایِ مقدّر بودنِ مردنِ خویش ایی و این واقعه‌ی مختوم تو را به بیراهه نکشاند .",زیرا که تو لااقل با نگاهی بشری فردا برون از تقدیر مردن هستی و باشد که بداقبالی کنونی ترا منحرف نکند ,,,,
0059-003|87.|Cr.47a.2.,0059-003|83.|Cr.47a,"σκόπει δή — οὐχ ἱκανῶς δοκεῖ σοι λέγεσθαι ὅτι οὐ πάσας χρὴ τὰς δόξας τῶν ἀνθρώπων τιμᾶν ἀλλὰ τὰς μέν, τὰς δ᾽ οὔ, οὐδὲ πάντων ἀλλὰ τῶν μέν, τῶν δ᾽ οὔ; ","Now say, do you not think we were correct in saying that we ought not to esteem all the opinions of men, but some and not others, and not those of all men, but only of some? ","Tell me, then, whether I am right in saying that some opinions, and the opinions of some men only, are to be valued, and other opinions, and the opinions of other men, are not to be valued. ","Erwäge also: scheint dir das nicht gut gesagt daß man nicht alle Meinungen der Menschen ehren muß, sondern einige wohl, andere aber nicht? und auch nicht aller Menschen, sondern einiger ihre wohl, Anderer aber nicht? ","لیکن در نظرآور , تو فکرنمی‌کنی استدلال بسنده‌ای است اینکه ارج نهادن به تمامی عقاید مردم بایسته نیست , اما به برخی [ باید ارج نهاد ] و به برخی دیگر نه , ونه هرچیزی بلکه به برخی و به برخی دیگر نه؟"," حال , ملاحظه کن : برای تو این سخنی درخور نمی‌نماید که بهادادن به جملگی عقاید آدمیان الزامی نیست , بلکه تنها پاره‌ای از عقاید , اما نه همه . آن‌هم نه همه‌ی آدمیان بلکه شماری از آن‌ها , نه همه . ",حال وارسی کن آیا تو نمی پنداری راست باشد آنچه گفته شد که ما نباید پندارهای مردمان را محترم شماریم بلکه برخی پندارها چنین اند و برخی دیگر نه ؛ و نه همه مردمان بلکه برخی ؛ و یا چنین نیست ؟ ,"حال بنگر – آیا تو نمی‌پنداری به این سگال بسنده کرد که می‌بایست نه تمامی افکار آدمیان را احترام گذاردن بلکه برخی را , و برخی دیگر را نه , نه همه را بلکه برخی از آن‌ها را , و برخی از آن‌ها را نه؟ ","باری بنگر که بدین‌سان برهان آوردن تو را به قدر کفایت در نظر نیاید ؟ این‌که می‌باید نه به تمامی , بلکه شماری از قضاوت‌های مردمان را گرامی داشتن و شماری دیگر را نه ; و آن نیز نه از همگان بلکه از اقلیّتی و باز از عده‌ایی دیگر نه !","پس بسنج , به نظرت این استدلال کافی نمی رسد که نه همه باورهای آدمیان , بلکه برخی را شریف شمردن دربایست است و برخی دیگر را نه و نه همچنین است باورهایی از همه آدمیان , بلکه از برخی بلی و از برخی دیگر نه . ",,,,
0059-003|88.|Cr.47a.3.,0059-003|83.|Cr.47a,τί φῄς; ,What do you think? ,I ask you whether I was right in maintaining this?,Was meinst du? ,چه می‌گویی؟,چه می‌گویی؟,تو چه می پنداری ؟ ,چه می‌گویی؟,تا تو چه گویی ؟,چه می گویی ؟,,,,
0059-003|89.|Cr.47a.4.,0059-003|83.|Cr.47a,ταῦτα οὐχὶ καλῶς λέγεται;,Is not this true?,,ist das nicht gut gesagt?,این سخن درست نیست؟,این‌ها سخنانی برحق نیستند؟,آنچه گفته شد راست نیست؟,آیا این درست گفته نمی‌شود ؟,این‌ها برهان آوردن ایی راستین نباشد ؟,آیا این نیک استدلال نشده است ؟,,,,
0059-003|90.|Cr.47a.5.,0059-003|87.|Cr.47a.1,Κρίτων. καλῶς.,Crito. It is.,Cr. Certainly.,Kriton: Gut.,درست است,برحق هستند .,راست است.,درست است .,کریتون : راستین باشد .,نیک .,,,,
0059-003|91.|Cr.47a.6.,0059-003|88.|Cr.47a.2,"Σωκράτης. οὐκοῦν τὰς μὲν χρηστὰς τιμᾶν, τὰς δὲ πονηρὰς μή;",Socrates. Then we ought to esteem the good opinions and not the bad ones?,"Soc. The good are to be regarded, and not the bad?","Sokrates: Nämlich doch die guten Meinungen soll man ehren, die schlechten nicht?",پس نبایستی به آن قسم سزاوارها ارج نهاد و نه به آن دیگر ناسزاوارها؟,"و بر این اساس , امر سودمند را بهادادن و نه امر بی‌ارزش را؟",پس سودمندان را ارج نهیم و نه زیانباران را ؟,"بنابراین همانا [ پندارهای ] مفید را احترام گذاردن , اما [ پندارهای ] بیهوده را نه ؟",سقراط : آنگاه به راستی سزد که ارزشمند را گرامی داشتن و لیک بی‌ارزش را نه ؟,پس یقینا سودمند را شریف شمردن بایست و نه بی فایده را ؟,,,,
0059-003|92.|Cr.47a.7.,0059-003|89.|Cr.47a.3,Κρίτων. ναί.,Crito. Yes.,Cr. Yes.,Kriton: Ja.,واقعا,بله.,آری ,آری.,کریتون : آری .,بلی,,,,
0059-003|93.|Cr.47a.8.,0059-003|90.|Cr.47a.4,"Σωκράτης. χρησταὶ δὲ οὐχ αἱ τῶν φρονίμων, πονηραὶ δὲ αἱ τῶν ἀφρόνων;",Socrates. And the good ones are those of the wise and the bad ones those of the foolish?,"Soc. And the opinions of the wise are good, and the opinions of the unwise are evil?","Sokrates: Und die guten, sind das nicht die der Vernünftigen, die schlechten aber die der Unvernünftigen?",ونه این است که سزاوارهایش ازآنِ خردمندان و ناسزاوارهایش از آن نادانان است؟,آیا این‌گونه نیست که عقاید خردمندان سودمند است و عقاید نابخردان خیر؟,و سودمندان از بخردان هستند و زیانباران از نابخردان ؟,"مگر آنِ دانایان مفید نیست , و آنِ نادانان بیهوده ؟",سقراط : مگر جز این است که از آنِ خردمندان ارزشمند باشد و از آنِ بی‌خردان بی ارزش ؟,و نه اینکه سودمند از آن خردمندان است و بی فایده از آن بی خردان ؟,,,,
0059-003|94.|Cr.47a.9.,0059-003|91.|Cr.47a.5,Κρίτων. πῶς δ᾽ οὔ;,Crito. Of course.,Cr. Certainly.,Kriton: Wie anders?,جز این نیست .,البته.,چنین است . ,البته .,کریتون : حاشا چگونه غیرِ این باشد ؟,چرا که نه,,,,
0059-003|95.|Cr.47a.10.,0059-003|92.|Cr.47a.6,"Σωκράτης. φέρε δή, πῶς αὖ τὰ τοιαῦτα ἐλέγετο; ","Socrates. Come then, what used we to say about this? ",Soc. And what was said about another matter?,"Sokrates: Wohlan, wie wurde wiederum hierüber gesprochen? ","سقراط : به فرض , چگونه اظهاراتی می‌تواند از این قبیل این [ موارد ] باشد؟","پس بیا و درنگر , چگونه این‌ چیزها گفته می‌شد؟",اکنون بیا بکاویم که درباره آن چه گفتیم ؟,"حال بیا , درباره چنین چیزهایی باز چه گفته می‌شد ؟ ",سقراط : حال در نظر بگیر دیگر بار چون از این چیزها سخن گفته می‌شود ؟,"سقراط: پس بیا بنگریم چطور سخن بدانها باز آمد ,",,,,
0059-003|96.|Cr.47b.1.,0059-003|92.|Cr.47a.6,"γυμναζόμενος ἀνὴρ καὶ τοῦτο πράττων πότερον παντὸς ἀνδρὸς ἐπαίνῳ καὶ ψόγῳ καὶ δόξῃ τὸν νοῦν προσέχει, ἢ ἑνὸς μόνου ἐκείνου ὃς ἂν τυγχάνῃ ἰατρὸς ἢ παιδοτρίβης ὤν;","If a man is an athlete and makes that his business, does he pay attention to every man's praise and blame and opinion or to those of one man only who is a physician or a trainer?","Was the disciple in gymnastics supposed to attend to the praise and blame and opinion of every man, or of one man only- his physician or trainer, whoever that was?","Ein Mann der Leibesübungen treibt und sich dies zum eigentlichen Geschäfte macht, wird der wohl auf Jedermanns Lob und Tadel und Meinung achten, oder nur auf jenes allein, auf des Arztes oder des Turnmeisters?","مردی که ورزش کردن را حرفه خود ساخته , ذهن خود را به تایید و سرزنش و عقیده همهٔ مردها معطوف می‌دارد یا صرفاً به کسانی منفرد که یک پزشک یا یک مربی است؟","آیا مردی ورزش‌کرده که آن [ عمل ] را حرفه‌ی خود ساخته , ذهنش را به مدح و شماتت و عقیده‌ی همه‌ی مردان محول می‌کند , یا فقط آنِ مردی که پیش می‌آید که پزشک یا مربی ورزش باشد .", انسانی که ورزش میکند و آنرا حرفه خود می سازد ، آیا مدح و نکوهش و پندار مردمان نظرش را جلب میکند  یا تنها یکی از آنان امکان دارد که پزشک یا مربی باشد ؟,"مردی که ورزش می‌کند و آن را حرفه خود ساخته است , به کدام یک از دو اعتنا می‌کند , تمجید و سرزنش و دیدگاه تمام مردان یا فقط یک نفری که از قضا طبیب یا مربی ورزش باشد ؟","مردی که به تربیت بدنی اهتمام ورزیده و آن را پیشه‌ی خود ساخته , تمجید و نکوهش و قضاوت را از جانب همه‌ی مردان وقع می‌نهد ؟ یا فقط از یکی از آنان که قضای روزگار بباشد یا طبیب بوده یا پرورنده‌ی تن ؟ کدامین را ؟", مردی که ورزش می کند و بدان مشتغل است آیا به ستایش و سرزنش و باور همه افراد اعتنا می کند یا تنها یکی از ایشان که اتفاقا پزشک یا مربی است ؟,,,,
0059-003|97.|Cr.47b.2.,0059-003|94.|Cr.47b.1,Κρίτων. ἑνὸς μόνου.,Crito. To those of one man only.,Cr. Of one man only.,Kriton: Auf jenes allein.,کریتون : یک شخص منفرد,فقط آن یک نفر .,تنها یکی . ,فقط یک نفر .,کریتون : فقط از یکی از آنان .,کریتون: تنها یکی .,,,,
0059-003|98.|Cr.47b.3.,0059-003|95.|Cr.47b.2,Σωκράτης. οὐκοῦν φοβεῖσθαι χρὴ τοὺς ψόγους καὶ ἀσπάζεσθαι τοὺς ἐπαίνους τοὺς τοῦ ἑνὸς ἐκείνου ἀλλὰ μὴ τοὺς τῶν πολλῶν.,Socrates. Then he ought to fear the blame and welcome the praise of that one man and not of the multitude.,"Soc. And he ought to fear the censure and welcome the praise of that one only, and not of the many?","Sokrates: Also fürchten muß er auch nur den Tadel, und Freude haben nur an dem Lobe jenes Einen, und nicht der Menge?",سقراط : بنابراین آن فرد می‌بایست از چنین سرزنشی بهراسد و از ستایش آن شخص خشنود شود و نه از [ ستایش ] اکثریت,"بنابراین , هراسیدن از شماتت و استقبال‌کردن از مدح آن یک نفر و نه همگان ضروری است .",پس او باید از نکوهش و مدح یکی از آنان ترسان یا خشنود شود و نه همه آنان .,بنابراین می‌بایست از سرزنش آن یک نفر بترسد و از تمجید [ او ] استقبال کند اما نه از دیدگاه عموم مردم .,سقراط : آنگاه باید از نکوهش‌هایِ همان یک تن پروا داشتن و تمجیدهای اش را به گرمی پذیرفتن و نه دیگر از جمله‌ی مردم .,سقراط: پس او باید از سرزنش های همان یکی باکش باشد و ستایش های [ او ] را استقبال کند و نه بسیار کسان .,,,,
0059-003|99.|Cr.47b.4.,0059-003|96.|Cr.47b.3,Κρίτων. δῆλα δή.,Crito. Obviously.,Cr. That is clear.,Kriton: Offenbar.,کریتون : مسلماً,روشن است .,آشکار است .,حال که آشکار است .,کریتون : به تصدیق از بدیهیّات است .,کریتون: روشن است .,,,,
0059-003|100.|Cr.47b.5.,0059-003|99.|Cr.47b.4.,"Σωκράτης. ταύτῃ ἄρα αὐτῷ πρακτέον καὶ γυμναστέον καὶ ἐδεστέον γε καὶ ποτέον, ᾗ ἂν τῷ ἑνὶ δοκῇ, τῷ ἐπιστάτῃ καὶ ἐπαΐοντι, μᾶλλον ἢ ᾗ σύμπασι τοῖς ἄλλοις.",Socrates. And he must act and exercise and eat and drink as the one man who is his director and who knows the business thinks best rather than as all the others think.,"Soc. And he ought to live and train, and eat and drink in the way which seems good to his single master who has understanding, rather than according to the opinion of all other men put together?","Sokrates: Auf die Art also muß er zu Werke gehn und sich üben und essen und trinken wie dieser Eine es gut findet, der Meister und Sachverständige, vielmehr als wie alle Andere insgesamt.","سقراط : صرفاً به همین دلیل ناچار است به روشی که آن فرد مربی و خبره اعتقاد دارد تمرین کند و بخورد و بیاشامد , نه به [ طریق ] همهٔ آن دیگران .","بدین قرار , او باید که عمل کند , ورزش کند , بخورد و بیاشامد بدان‌گونه که آن یگانه‌فرد می‌اندیشد , همو که عهده‌دار است و کارآزموده بسی بیشتر از جملگی آن دیگران .",بی درنگ چنین است ، او باید همچون کسی که میپندارد، مربی و کارآزموده تر از همه دیگران است ، تمرین و ورزش و خوردن و آشامیدن داشته باشد. ,"به همین خاطر او باید بکوشد و ورزش کند و بخورد و بنوشد , بیشتر از طریق همه دیگران به طریقی که آن فرد فکر می‌کند , او که صندید و حکیم است .","سقراط : در واقع بدین منوال او باید در به انجام رسانیدن و در اهتمام به تربیت بدنی و در تناول کردن و نیز نوشیدن به نحوی باشد تا این که بیشتر از خیلِ دیگران , سرپرست و داننده را بهترین در نظر بیاید .",سقراط: پس بدین صورت او می بایست چنان عمل نماید و ورزش کند و بخورد و بیاشامد که آن یک نفر که مدیر و مدبر است توقع دارد به جای آنچه آن دیگران جملگی [ توقع دارند ] .,,,,
0059-003|101.|Cr.47b.6.,0059-003|100.|Cr.47b.5.,Κρίτων. ἔστι ταῦτα.,Crito. That is true.,Cr. True.,Kriton: So ist es.,کریتون : چنین است,چنین است .,چنین است .,اینچنین است .,کریتون : این چنین است .,,,,,
0059-003|102.|Cr.47c.1.,0059-003|102.|Cr.47c.1.,Σωκράτης. εἶεν.,Socrates. Well then;,,Sokrates: Wohl! ,خب .,,,بسیار خب .,سقراط : بسیار خوب .,"سقراط
باری ,",,,,
0059-003|103.|Cr.47c.2.,0059-003|102.|Cr.47c.1.,"ἀπειθήσας δὲ τῷ ἑνὶ καὶ ἀτιμάσας αὐτοῦ τὴν δόξαν καὶ τοὺς ἐπαίνους, τιμήσας δὲ τοὺς τῶν πολλῶν λόγους καὶ μηδὲν ἐπαϊόντων, ἆρα οὐδὲν κακὸν πείσεται;","if he disobeys the one man and disregards his opinion and his praise, but regards words of the many who have no special knowledge, will he not come to harm?","Soc. And if he disobeys and disregards the opinion and approval of the one, and regards the opinion of the many who have no understanding, will he not suffer evil?","Ist er aber diesem Einen unfolgsam, und achtet seine Meinung und sein Lob gering, höher aber das der andern unkundigen Leute; wird ihm dann nichts übles begegnen?","اگر از آن فرد سرپیچی کند و عقیده‌اش و تایید‌اش را بی‌ارزش شمارد , ولی سخنان اکتریت و آنانکه هیچ نمی‌دانند را ارزش بنهد , آیا دچار هیچ زیانی نخواهد شد؟",,بنابراین اگر از آن کس سرپیچی کند و پندار و مدح او را اعتنا نکند ولی به اکثریتی که دانشی ندارند، اعتنا کند؛ آیا از شری رنج نخواهد برد ؟,"حتی از آن یک نفر سرپیچی کند و به دیدگاه و ستودن او بی‌احترامی ورزد , اما سگال عموم مردم را که خبره هم نیستند , محترم شمارد , آیا دچار رنج بدی نخواهد شد ؟","لیک اگر از همان یک تن اطاعت نبرده و قضاوت‌ها و تمجیدهای اش را حرمت ننهاده , اما سخنان مردمانی را که از زمره‌ی نابلدان اند حرمت نهاده باشد , به راستی این رنجه‌اش نخواهد داشت ؟",اما با سرپیچی از همان یکی و بی اعتنایی به رأی و ستایش وی و شریف شمردن سخنان کثیری افراد بی تبحر آیا گزندی نخواهدش رسید ؟,,,,
0059-003|104.|Cr.47c.3.,0059-003|103.|Cr.47c.2.,Κρίτων. πῶς γὰρ οὔ;,Crito. Of course he will.,Cr. Certainly he will.,Kriton: Wie sollte es ihm nicht?,چراکه نه؟,,براستی چنین است .,یقیناً .,کریتون : چه‌گونه ندارد ؟,کریتون: چرا که نه .,,,,
0059-003|105.|Cr.47c.4.,0059-003|104.|Cr.47c.3.,"Σωκράτης. τί δ᾽ ἔστι τὸ κακὸν τοῦτο, καὶ ποῖ τείνει, καὶ εἰς τί τῶν τοῦ ἀπειθοῦντος;",Socrates. And what is this harm? In what direction and upon what part of the one who disobeys does it act?,"Soc. And what will the evil be, whither tending and what affecting, in the disobedient person?","Sokrates: Was ist nun wohl dieses Übel? worauf zielt es, und was trifft es von dem Unfolgsamen?","آن زیان چیست؟ و متوجه کجاست , و چه نسبتی با آنکه سرپیچی می‌کند دارد؟",, آن شر چیست ؟ و از کدام جهت بسط پیدا میکند و از چه طریق بی اعتنایی میکند؟,"اما این بدی چیست , و به کدامین سو , و بر کدامین جای آن فرد نافرمانبردار خسران می‌رساند ؟",سقراط : لیک چه باشد این رنجه نیز به کجا و چه بخشی از وجود او که اطاعت نبرده درآید ؟,سقراط: اما چیست آن گزند ؟ به کجا و بر چه چیزی از آنکه سرپیچی نماید اثر می گذارد ؟,,,,
0059-003|106.|Cr.47c.5.,0059-003|105.|Cr.47c.4.,Κρίτων. δῆλον ὅτι εἰς τὸ σῶμα: ,Crito. Evidently upon his body;,"Cr. Clearly, affecting the body;",Kriton: Seinen Leib offenbar: ,"کریتون : بدیهی است , متوجه بدن‌ اوست :",,آشکارا از طریق تن ؛,واضح است که بر جسم : ,کریتون : پر واضح است که بر تنِ مادی .,کریتون: آشکارا بر جسم اش .,,,,
0059-003|107.|Cr.47c.6.,0059-003|105.|Cr.47c.4.,τοῦτο γὰρ διόλλυσι.,for that is what it ruins.,that is what is destroyed by the evil.,denn diesen zerrüttet er.,برای آن نابودکننده است,,زیرا آن را فاسد می گرداند .,چرا که آن را هلاک می‌سازد .,چه آن را تباه سازد .,زیرا که آنرا تباه می کند .,,,,
0059-003|108.|Cr.47c.7.,0059-003|107.|Cr.47c.5,Σωκράτης. καλῶς λέγεις. ,Socrates. Right. ,Soc. Very good; ,Sokrates: Wohl gesprochen. ,"سقراط : نیک گفتی , ",,راست میگویی ,درست می‌گویی . ,سقراط : نیکو می‌گویی .,سقراط: نیک می گویی . ,,,,
